Treatment,Replicate,OD ,Date,Time
GAL,2,0.372,11/6/2024,? Mistake
GAL,3,0.245,11/6/2024,
GAL,4,0.425,11/6/2024,
GAL,5,0.229,11/6/2024,
GAL,6,0.228,11/6/2024,
GAL,7,0.238,11/6/2024,
GAL,8,0.217,11/6/2024,
GALSET,1,0.169,11/6/2024,
GALSET,2,0.175,11/6/2024,
GALSET,3,0.171,11/6/2024,
GALSET,4,0.171,11/6/2024,
GALSET,5,0.164,11/6/2024,
GALSET,6,0.141,11/6/2024,
GALSET,7,0.179,11/6/2024,
GALSET,8,0.175,11/6/2024,
GALSET Settled,1,0.307,11/6/2024,
GALSET Settled,2,0.485,11/6/2024,
GALSET Settled,3,0.454,11/6/2024,
GALSET Settled,4,0.352,11/6/2024,
GALSET Settled,5,0.381,11/6/2024,
GALSET Settled,6,0.377,11/6/2024,
GALSET Settled,7,0.364,11/6/2024,
GALSET Settled,8,0.426,11/6/2024,
YPD,1,0.181,11/6/2024,
YPD,2,0.156,11/6/2024,
YPD,3,0.186,11/6/2024,
YPD,4,0.166,11/6/2024,
YPD,5,0.174,11/6/2024,
YPD,6,0.183,11/6/2024,
YPD,7,0.164,11/6/2024,
YPD,8,0.173,11/6/2024,
YPDSET,1,0.216,11/6/2024,
YPDSET,2,0.182,11/6/2024,
YPDSET,3,0.152,11/6/2024,
YPDSET,4,0.181,11/6/2024,
YPDSET,5,0.16,11/6/2024,
YPDSET,6,0.145,11/6/2024,
YPDSET,7,0.178,11/6/2024,
YPDSET,8,0.162,11/6/2024,
YPDSET Settled,1,0.259,11/6/2024,
YPDSET Settled,2,0.226,11/6/2024,
YPDSET Settled,3,0.282,11/6/2024,
YPDSET Settled,4,0.266,11/6/2024,
YPDSET Settled,5,0.25,11/6/2024,
YPDSET Settled,6,0.264,11/6/2024,
YPDSET Settled,7,0.325,11/6/2024,
YPDSET Settled,8,0.284,11/6/2024,
GAL,1,0.303,11/7/2024,
GAL,2,0.247,11/7/2024,
GAL,3,0.243,11/7/2024,
GAL,4,0.263,11/7/2024,
GAL,5,0.22,11/7/2024,
GAL,6,0.224,11/7/2024,
GAL,7,0.207,11/7/2024,
GAL,8,0.226,11/7/2024,
GALSET,1,0.188,11/7/2024,
GALSET,2,0.175,11/7/2024,
GALSET,3,0.189,11/7/2024,
GALSET,4,0.168,11/7/2024,
GALSET,5,0.177,11/7/2024,
GALSET,6,0.187,11/7/2024,
GALSET,7,0.186,11/7/2024,
GALSET,8,0.203,11/7/2024,
GALSET Settled,1,0.332,11/7/2024,
GALSET Settled,2,0.372,11/7/2024,
GALSET Settled,3,0.417,11/7/2024,
GALSET Settled,4,0.431,11/7/2024,
GALSET Settled,5,0.564,11/7/2024,
GALSET Settled,6,0.281,11/7/2024,
GALSET Settled,7,0.361,11/7/2024,
GALSET Settled,8,0.517,11/7/2024,
YPD,1,0.183,11/7/2024,
YPD,2,0.177,11/7/2024,
YPD,3,0.177,11/7/2024,
YPD,4,0.174,11/7/2024,
YPD,5,0.185,11/7/2024,
YPD,6,0.181,11/7/2024,
YPD,7,0.175,11/7/2024,
YPD,8,0.182,11/7/2024,
YPDSET,1,0.167,11/7/2024,
YPDSET,2,0.165,11/7/2024,
YPDSET,3,0.158,11/7/2024,
YPDSET,4,0.182,11/7/2024,
YPDSET,5,0.177,11/7/2024,
YPDSET,6,0.182,11/7/2024,
YPDSET,7,0.179,11/7/2024,
YPDSET,8,0.174,11/7/2024,
YPDSET Settled,1,0.294,11/7/2024,
YPDSET Settled,2,0.314,11/7/2024,
YPDSET Settled,3,0.237,11/7/2024,
YPDSET Settled,4,0.238,11/7/2024,
YPDSET Settled,5,0.281,11/7/2024,
YPDSET Settled,6,0.26,11/7/2024,
YPDSET Settled,7,0.277,11/7/2024,
YPDSET Settled,8,0.287,11/7/2024,
GAL,1,0.254,11/8/2024,
GAL,2,0.269,11/8/2024,
GAL,3,0.25,11/8/2024,
GAL,4,0.246,11/8/2024,
GAL,5,0.245,11/8/2024,
GAL,6,0.229,11/8/2024,
GAL,7,0.245,11/8/2024,
GAL,8,0.24,11/8/2024,
GALSET,1,0.152,11/8/2024,
GALSET,2,0.187,11/8/2024,
GALSET,3,0.183,11/8/2024,
GALSET,4,0.17,11/8/2024,
GALSET,5,0.176,11/8/2024,
GALSET,6,0.188,11/8/2024,
GALSET,7,0.168,11/8/2024,
GALSET,8,0.188,11/8/2024,
GALSET Settled,1,0.39,11/8/2024,
GALSET Settled,2,0.461,11/8/2024,
GALSET Settled,3,0.445,11/8/2024,
GALSET Settled,4,0.451,11/8/2024,
GALSET Settled,5,0.527,11/8/2024,
GALSET Settled,6,0.533,11/8/2024,
GALSET Settled,7,0.298,11/8/2024,
GALSET Settled,8,0.529,11/8/2024,
YPD,1,0.212,11/8/2024,
YPD,2,0.219,11/8/2024,
YPD,3,0.194,11/8/2024,
YPD,4,0.241,11/8/2024,
YPD,5,0.204,11/8/2024,
YPD,6,0.196,11/8/2024,
YPD,7,0.221,11/8/2024,
YPD,8,0.218,11/8/2024,
YPDSET,1,0.177,11/8/2024,
YPDSET,2,0.18,11/8/2024,
YPDSET,3,0.169,11/8/2024,
YPDSET,4,0.165,11/8/2024,
YPDSET,5,0.171,11/8/2024,
YPDSET,6,0.158,11/8/2024,
YPDSET,7,0.2,11/8/2024,
YPDSET,8,0.173,11/8/2024,
YPDSET Settled,1,0.316,11/8/2024,
YPDSET Settled,2,0.261,11/8/2024,
YPDSET Settled,3,0.326,11/8/2024,
YPDSET Settled,4,0.338,11/8/2024,
YPDSET Settled,5,0.293,11/8/2024,
YPDSET Settled,6,0.258,11/8/2024,
YPDSET Settled,7,0.338,11/8/2024,
YPDSET Settled,8,0.267,11/8/2024,
GAL,1,0.257,11/9/2024,
GAL,2,0.258,11/9/2024,
GAL,3,0.275,11/9/2024,
GAL,4,0.24,11/9/2024,
GAL,5,0.244,11/9/2024,
GAL,6,0.227,11/9/2024,
GAL,7,0.259,11/9/2024,
GAL,8,0.234,11/9/2024,
GALSET,1,0.187,11/9/2024,
GALSET,2,0.177,11/9/2024,
GALSET,3,0.156,11/9/2024,
GALSET,4,0.142,11/9/2024,
GALSET,5,0.188,11/9/2024,
GALSET,6,0.186,11/9/2024,
GALSET,7,0.16,11/9/2024,
GALSET,8,0.168,11/9/2024,
GALSET Settled,1,0.472,11/9/2024,
GALSET Settled,2,0.406,11/9/2024,
GALSET Settled,3,0.515,11/9/2024,
GALSET Settled,4,0.497,11/9/2024,
GALSET Settled,5,0.481,11/9/2024,
GALSET Settled,6,0.551,11/9/2024,
GALSET Settled,7,0.533,11/9/2024,
GALSET Settled,8,0.461,11/9/2024,
YPD,1,0.178,11/9/2024,
YPD,2,0.191,11/9/2024,
YPD,3,0.184,11/9/2024,
YPD,4,0.187,11/9/2024,
YPD,5,0.185,11/9/2024,
YPD,6,0.194,11/9/2024,
YPD,7,0.192,11/9/2024,
YPD,8,0.233,11/9/2024,
YPDSET,1,0.168,11/9/2024,
YPDSET,2,0.161,11/9/2024,
YPDSET,3,0.179,11/9/2024,
YPDSET,4,0.188,11/9/2024,
YPDSET,5,0.198,11/9/2024,
YPDSET,6,0.185,11/9/2024,
YPDSET,7,0.184,11/9/2024,
YPDSET,8,0.177,11/9/2024,
YPDSET Settled,1,0.283,11/9/2024,
YPDSET Settled,2,0.308,11/9/2024,
YPDSET Settled,3,0.313,11/9/2024,
YPDSET Settled,4,0.356,11/9/2024,
YPDSET Settled,5,0.298,11/9/2024,
YPDSET Settled,6,0.344,11/9/2024,
YPDSET Settled,7,0.246,11/9/2024,
YPDSET Settled,8,0.313,11/9/2024,
GAL,1,0.317,11/10/2024,
GAL,2,0.245,11/10/2024,
GAL,3,0.244,11/10/2024,
GAL,4,0.242,11/10/2024,
GAL,5,0.252,11/10/2024,
GAL,6,0.234,11/10/2024,
GAL,7,0.268,11/10/2024,
GAL,8,0.245,11/10/2024,
GALSET,1,0.183,11/10/2024,
GALSET,2,0.187,11/10/2024,
GALSET,3,0.179,11/10/2024,
GALSET,4,0.194,11/10/2024,
GALSET,5,0.134,11/10/2024,
GALSET,6,0.18,11/10/2024,
GALSET,7,0.179,11/10/2024,
GALSET,8,0.135,11/10/2024,
GALSET Settled,1,0.514,11/10/2024,
GALSET Settled,2,0.444,11/10/2024,
GALSET Settled,3,0.456,11/10/2024,
GALSET Settled,4,0.552,11/10/2024,
GALSET Settled,5,0.449,11/10/2024,
GALSET Settled,6,0.433,11/10/2024,
GALSET Settled,7,0.498,11/10/2024,
GALSET Settled,8,0.483,11/10/2024,
YPD,1,0.178,11/10/2024,
YPD,2,0.178,11/10/2024,
YPD,3,0.2,11/10/2024,
YPD,4,0.2,11/10/2024,
YPD,5,0.194,11/10/2024,
YPD,6,0.171,11/10/2024,
YPD,7,0.182,11/10/2024,
YPD,8,0.227,11/10/2024,
YPDSET,1,0.18,11/10/2024,
YPDSET,2,0.196,11/10/2024,
YPDSET,3,0.217,11/10/2024,
YPDSET,4,0.165,11/10/2024,
YPDSET,5,0.172,11/10/2024,
YPDSET,6,0.172,11/10/2024,
YPDSET,7,0.2,11/10/2024,
YPDSET,8,0.18,11/10/2024,
YPDSET Settled,1,0.389,11/10/2024,
YPDSET Settled,2,0.303,11/10/2024,
YPDSET Settled,3,0.352,11/10/2024,
YPDSET Settled,4,0.334,11/10/2024,
YPDSET Settled,5,0.363,11/10/2024,
YPDSET Settled,6,0.319,11/10/2024,
YPDSET Settled,7,0.356,11/10/2024,
YPDSET Settled,8,0.359,11/10/2024,
GAL,1,0.257,11/11/2024,
GAL,2,0.233,11/11/2024,
GAL,3,0.208,11/11/2024,
GAL,4,0.214,11/11/2024,
GAL,5,0.219,11/11/2024,
GAL,6,0.249,11/11/2024,
GAL,7,0.218,11/11/2024,
GAL,8,0.231,11/11/2024,
GALSET,1,0.158,11/11/2024,
GALSET,2,0.16,11/11/2024,
GALSET,3,0.152,11/11/2024,
GALSET,4,0.145,11/11/2024,
GALSET,5,0.177,11/11/2024,
GALSET,6,0.163,11/11/2024,
GALSET,7,0.18,11/11/2024,
GALSET,8,0.181,11/11/2024,
GALSET Settled,1,0.432,11/11/2024,
GALSET Settled,2,0.545,11/11/2024,
GALSET Settled,3,0.331,11/11/2024,
GALSET Settled,4,,11/11/2024,
GALSET Settled,5,0.335,11/11/2024,
GALSET Settled,6,0.453,11/11/2024,
GALSET Settled,7,0.338,11/11/2024,
GALSET Settled,8,0.474,11/11/2024,
YPD,1,0.168,11/11/2024,
YPD,2,0.162,11/11/2024,
YPD,3,0.168,11/11/2024,
YPD,4,0.159,11/11/2024,
YPD,5,0.159,11/11/2024,
YPD,6,0.175,11/11/2024,
YPD,7,0.17,11/11/2024,
YPD,8,0.155,11/11/2024,
YPDSET,1,0.173,11/11/2024,
YPDSET,2,0.181,11/11/2024,
YPDSET,3,0.184,11/11/2024,
YPDSET,4,0.184,11/11/2024,
YPDSET,5,0.181,11/11/2024,
YPDSET,6,0.177,11/11/2024,
YPDSET,7,0.174,11/11/2024,
YPDSET,8,0.201,11/11/2024,
YPDSET Settled,1,0.329,11/11/2024,
YPDSET Settled,2,0.257,11/11/2024,
YPDSET Settled,3,0.312,11/11/2024,
YPDSET Settled,4,0.321,11/11/2024,
YPDSET Settled,5,0.299,11/11/2024,
YPDSET Settled,6,0.341,11/11/2024,
YPDSET Settled,7,0.365,11/11/2024,
YPDSET Settled,8,0.321,11/11/2024,
GAL,1,0.224,11/12/2024,
GAL,2,0.236,11/12/2024,
GAL,3,0.24,11/12/2024,
GAL,4,0.229,11/12/2024,
GAL,5,0.235,11/12/2024,
GAL,6,0.235,11/12/2024,
GAL,7,0.23,11/12/2024,
GAL,8,0.218,11/12/2024,
GALSET,1,0.153,11/12/2024,
GALSET,2,0.147,11/12/2024,
GALSET,3,0.141,11/12/2024,
GALSET,4,0.177,11/12/2024,
GALSET,5,0.188,11/12/2024,
GALSET,6,0.168,11/12/2024,
GALSET,7,0.176,11/12/2024,
GALSET,8,0.144,11/12/2024,
GALSET Settled,1,0.354,11/12/2024,
GALSET Settled,2,0.522,11/12/2024,
GALSET Settled,3,0.452,11/12/2024,
GALSET Settled,4,0.506,11/12/2024,
GALSET Settled,5,0.594,11/12/2024,
GALSET Settled,6,0.428,11/12/2024,
GALSET Settled,7,0.442,11/12/2024,
GALSET Settled,8,0.455,11/12/2024,
YPD,1,0.187,11/12/2024,
YPD,2,0.197,11/12/2024,
YPD,3,0.185,11/12/2024,
YPD,4,0.17,11/12/2024,
YPD,5,0.174,11/12/2024,
YPD,6,0.176,11/12/2024,
YPD,7,0.196,11/12/2024,
YPD,8,0.167,11/12/2024,
YPDSET,1,0.174,11/12/2024,
YPDSET,2,0.174,11/12/2024,
YPDSET,3,0.176,11/12/2024,
YPDSET,4,0.183,11/12/2024,
YPDSET,5,0.181,11/12/2024,
YPDSET,6,0.193,11/12/2024,
YPDSET,7,0.178,11/12/2024,
YPDSET,8,0.19,11/12/2024,
YPDSET Settled,1,0.306,11/12/2024,
YPDSET Settled,2,0.337,11/12/2024,
YPDSET Settled,3,0.296,11/12/2024,
YPDSET Settled,4,0.431,11/12/2024,
YPDSET Settled,5,0.272,11/12/2024,
YPDSET Settled,6,0.307,11/12/2024,
YPDSET Settled,7,0.344,11/12/2024,
YPDSET Settled,8,0.382,11/12/2024,
GAL,1,0.266,11/13/2024,
GAL,2,0.265,11/13/2024,
GAL,3,0.247,11/13/2024,
GAL,4,0.264,11/13/2024,
GAL,5,0.243,11/13/2024,
GAL,6,0.268,11/13/2024,
GAL,7,0.243,11/13/2024,
GAL,8,0.25,11/13/2024,
GALSET,1,0.146,11/13/2024,
GALSET,2,0.172,11/13/2024,
GALSET,3,0.153,11/13/2024,
GALSET,4,0.186,11/13/2024,
GALSET,5,0.158,11/13/2024,
GALSET,6,0.168,11/13/2024,
GALSET,7,0.184,11/13/2024,
GALSET,8,0.173,11/13/2024,
GALSET Settled,1,0.337,11/13/2024,
GALSET Settled,2,0.306,11/13/2024,
GALSET Settled,3,0.34,11/13/2024,
GALSET Settled,4,0.474,11/13/2024,
GALSET Settled,5,0.359,11/13/2024,
GALSET Settled,6,0.376,11/13/2024,
GALSET Settled,7,0.413,11/13/2024,
GALSET Settled,8,0.468,11/13/2024,
YPD,1,0.198,11/13/2024,
YPD,2,0.181,11/13/2024,
YPD,3,0.195,11/13/2024,
YPD,4,0.181,11/13/2024,
YPD,5,0.214,11/13/2024,
YPD,6,0.19,11/13/2024,
YPD,7,0.215,11/13/2024,
YPD,8,0.197,11/13/2024,
YPDSET,1,0.2,11/13/2024,
YPDSET,2,0.204,11/13/2024,
YPDSET,3,0.181,11/13/2024,
YPDSET,4,0.199,11/13/2024,
YPDSET,5,0.201,11/13/2024,
YPDSET,6,0.197,11/13/2024,
YPDSET,7,0.195,11/13/2024,
YPDSET,8,0.262,11/13/2024,
YPDSET Settled,1,0.259,11/13/2024,
YPDSET Settled,2,0.29,11/13/2024,
YPDSET Settled,3,0.325,11/13/2024,
YPDSET Settled,4,0.372,11/13/2024,
YPDSET Settled,5,0.32,11/13/2024,
YPDSET Settled,6,0.319,11/13/2024,
YPDSET Settled,7,0.319,11/13/2024,
YPDSET Settled,8,0.312,11/13/2024,
GAL,1,0.291,11/14/2024,
GAL,2,0.304,11/14/2024,
GAL,3,0.271,11/14/2024,
GAL,4,0.307,11/14/2024,
GAL,5,0.222,11/14/2024,
GAL,6,0.243,11/14/2024,
GAL,7,0.264,11/14/2024,
GAL,8,0.273,11/14/2024,
GALSET,1,0.15,11/14/2024,
GALSET,2,0.108,11/14/2024,
GALSET,3,0.105,11/14/2024,
GALSET,4,0.14,11/14/2024,
GALSET,5,0.156,11/14/2024,
GALSET,6,0.175,11/14/2024,
GALSET,7,0.183,11/14/2024,
GALSET,8,0.12,11/14/2024,
GALSET Settled,1,0.459,11/14/2024,
GALSET Settled,2,0.392,11/14/2024,
GALSET Settled,3,0.485,11/14/2024,
GALSET Settled,4,0.553,11/14/2024,
GALSET Settled,5,0.554,11/14/2024,
GALSET Settled,6,0.447,11/14/2024,
GALSET Settled,7,0.447,11/14/2024,
GALSET Settled,8,0.42,11/14/2024,
YPD,1,0.219,11/14/2024,
YPD,2,0.189,11/14/2024,
YPD,3,0.214,11/14/2024,
YPD,4,0.203,11/14/2024,
YPD,5,0.154,11/14/2024,
YPD,6,0.203,11/14/2024,
YPD,7,0.19,11/14/2024,
YPD,8,0.208,11/14/2024,
YPDSET,1,0.189,11/14/2024,
YPDSET,2,0.186,11/14/2024,
YPDSET,3,0.168,11/14/2024,
YPDSET,4,0.151,11/14/2024,
YPDSET,5,0.143,11/14/2024,
YPDSET,6,0.178,11/14/2024,
YPDSET,7,0.154,11/14/2024,
YPDSET,8,0.153,11/14/2024,
YPDSET Settled,1,0.34,11/14/2024,
YPDSET Settled,2,0.244,11/14/2024,
YPDSET Settled,3,0.303,11/14/2024,
YPDSET Settled,4,0.381,11/14/2024,
YPDSET Settled,5,0.286,11/14/2024,
YPDSET Settled,6,0.305,11/14/2024,
YPDSET Settled,7,0.344,11/14/2024,
YPDSET Settled,8,0.271,11/14/2024,
GAL,1,0.219,11/15/2024,
GAL,2,0.242,11/15/2024,
GAL,3,0.248,11/15/2024,
GAL,4,0.237,11/15/2024,
GAL,5,0.232,11/15/2024,
GAL,6,0.229,11/15/2024,
GAL,7,0.268,11/15/2024,
GAL,8,0.231,11/15/2024,
GALSET,1,0.154,11/15/2024,
GALSET,2,0.144,11/15/2024,
GALSET,3,0.122,11/15/2024,
GALSET,4,0.127,11/15/2024,
GALSET,5,0.136,11/15/2024,
GALSET,6,0.152,11/15/2024,
GALSET,7,0.189,11/15/2024,
GALSET,8,0.15,11/15/2024,
GALSET Settled,1,0.429,11/15/2024,
GALSET Settled,2,0.545,11/15/2024,
GALSET Settled,3,0.326,11/15/2024,
GALSET Settled,4,0.36,11/15/2024,
GALSET Settled,5,0.531,11/15/2024,
GALSET Settled,6,0.383,11/15/2024,
GALSET Settled,7,0.462,11/15/2024,
GALSET Settled,8,0.45,11/15/2024,
YPD,1,0.17,11/15/2024,
YPD,2,0.191,11/15/2024,
YPD,3,0.184,11/15/2024,
YPD,4,0.201,11/15/2024,
YPD,5,0.191,11/15/2024,
YPD,6,0.207,11/15/2024,
YPD,7,0.171,11/15/2024,
YPD,8,0.274,11/15/2024,
YPDSET,1,0.167,11/15/2024,
YPDSET,2,0.179,11/15/2024,
YPDSET,3,0.159,11/15/2024,
YPDSET,4,0.181,11/15/2024,
YPDSET,5,0.163,11/15/2024,
YPDSET,6,0.165,11/15/2024,
YPDSET,7,0.167,11/15/2024,
YPDSET,8,0.173,11/15/2024,
YPDSET Settled,1,0.336,11/15/2024,
YPDSET Settled,2,0.298,11/15/2024,
YPDSET Settled,3,0.283,11/15/2024,
YPDSET Settled,4,0.329,11/15/2024,
YPDSET Settled,5,0.304,11/15/2024,
YPDSET Settled,6,0.346,11/15/2024,
YPDSET Settled,7,0.335,11/15/2024,
YPDSET Settled,8,0.379,11/15/2024,
GAL,1,0.277,11/16/2024,
GAL,2,0.251,11/16/2024,
GAL,3,0.28,11/16/2024,
GAL,4,0.251,11/16/2024,
GAL,5,0.271,11/16/2024,
GAL,6,0.237,11/16/2024,
GAL,7,0.265,11/16/2024,
GAL,8,0.267,11/16/2024,
GALSET,1,0.141,11/16/2024,
GALSET,2,0.138,11/16/2024,
GALSET,3,0.112,11/16/2024,
GALSET,4,0.174,11/16/2024,
GALSET,5,0.15,11/16/2024,
GALSET,6,0.177,11/16/2024,
GALSET,7,0.166,11/16/2024,
GALSET,8,0.166,11/16/2024,
GALSET Settled,1,0.481,11/16/2024,
GALSET Settled,2,0.378,11/16/2024,
GALSET Settled,3,0.444,11/16/2024,
GALSET Settled,4,0.404,11/16/2024,
GALSET Settled,5,0.272,11/16/2024,
GALSET Settled,6,0.463,11/16/2024,
GALSET Settled,7,0.36,11/16/2024,
GALSET Settled,8,0.463,11/16/2024,
YPD,1,0.219,11/16/2024,
YPD,2,0.202,11/16/2024,
YPD,3,0.19,11/16/2024,
YPD,4,0.21,11/16/2024,
YPD,5,0.172,11/16/2024,
YPD,6,0.198,11/16/2024,
YPD,7,0.214,11/16/2024,
YPD,8,0.287,11/16/2024,
YPDSET,1,0.183,11/16/2024,
YPDSET,2,0.16,11/16/2024,
YPDSET,3,0.15,11/16/2024,
YPDSET,4,0.171,11/16/2024,
YPDSET,5,0.162,11/16/2024,
YPDSET,6,0.138,11/16/2024,
YPDSET,7,0.17,11/16/2024,
YPDSET,8,0.152,11/16/2024,
YPDSET Settled,1,0.323,11/16/2024,
YPDSET Settled,2,0.335,11/16/2024,
YPDSET Settled,3,0.382,11/16/2024,
YPDSET Settled,4,0.335,11/16/2024,
YPDSET Settled,5,0.374,11/16/2024,
YPDSET Settled,6,0.259,11/16/2024,
YPDSET Settled,7,0.326,11/16/2024,
YPDSET Settled,8,0.316,11/16/2024,
GAL,1,0.237,11/17/2024,
GAL,2,0.295,11/17/2024,
GAL,3,0.237,11/17/2024,
GAL,4,0.224,11/17/2024,
GAL,5,0.265,11/17/2024,
GAL,6,0.211,11/17/2024,
GAL,7,0.265,11/17/2024,
GAL,8,0.295,11/17/2024,
GALSET,1,0.158,11/17/2024,
GALSET,2,0.119,11/17/2024,
GALSET,3,0.1,11/17/2024,
GALSET,4,0.147,11/17/2024,
GALSET,5,0.141,11/17/2024,
GALSET,6,0.176,11/17/2024,
GALSET,7,0.179,11/17/2024,
GALSET,8,0.109,11/17/2024,
GALSET Settled,1,0.346,11/17/2024,
GALSET Settled,2,0.433,11/17/2024,
GALSET Settled,3,0.394,11/17/2024,
GALSET Settled,4,0.364,11/17/2024,
GALSET Settled,5,0.393,11/17/2024,
GALSET Settled,6,0.517,11/17/2024,
GALSET Settled,7,0.443,11/17/2024,
GALSET Settled,8,0.554,11/17/2024,
YPD,1,0.185,11/17/2024,
YPD,2,0.17,11/17/2024,
YPD,3,0.177,11/17/2024,
YPD,4,0.2,11/17/2024,
YPD,5,0.179,11/17/2024,
YPD,6,0.192,11/17/2024,
YPD,7,0.184,11/17/2024,
YPD,8,0.209,11/17/2024,
YPDSET,1,0.17,11/17/2024,
YPDSET,2,0.173,11/17/2024,
YPDSET,3,0.169,11/17/2024,
YPDSET,4,0.156,11/17/2024,
YPDSET,5,0.166,11/17/2024,
YPDSET,6,0.163,11/17/2024,
YPDSET,7,0.165,11/17/2024,
YPDSET,8,0.145,11/17/2024,
YPDSET Settled,1,0.324,11/17/2024,
YPDSET Settled,2,0.283,11/17/2024,
YPDSET Settled,3,0.318,11/17/2024,
YPDSET Settled,4,0.356,11/17/2024,
YPDSET Settled,5,0.32,11/17/2024,
YPDSET Settled,6,0.292,11/17/2024,
YPDSET Settled,7,0.305,11/17/2024,
YPDSET Settled,8,0.334,11/17/2024,
GAL,1,0.236,11/18/2024,
GAL,2,0.249,11/18/2024,
GAL,3,0.263,11/18/2024,
GAL,4,0.256,11/18/2024,
GAL,5,0.197,11/18/2024,
GAL,6,0.231,11/18/2024,
GAL,7,0.229,11/18/2024,
GAL,8,0.211,11/18/2024,
GALSET,1,0.154,11/18/2024,
GALSET,2,0.127,11/18/2024,
GALSET,3,0.137,11/18/2024,
GALSET,4,0.155,11/18/2024,
GALSET,5,0.146,11/18/2024,
GALSET,6,0.187,11/18/2024,
GALSET,7,0.181,11/18/2024,
GALSET,8,0.144,11/18/2024,
GALSET Settled,1,0.405,11/18/2024,
GALSET Settled,2,0.461,11/18/2024,
GALSET Settled,3,0.411,11/18/2024,
GALSET Settled,4,0.51,11/18/2024,
GALSET Settled,5,0.387,11/18/2024,
GALSET Settled,6,0.461,11/18/2024,
GALSET Settled,7,0.369,11/18/2024,
GALSET Settled,8,0.441,11/18/2024,
YPD,1,0.179,11/18/2024,
YPD,2,0.182,11/18/2024,
YPD,3,0.18,11/18/2024,
YPD,4,0.165,11/18/2024,
YPD,5,0.179,11/18/2024,
YPD,6,0.169,11/18/2024,
YPD,7,0.182,11/18/2024,
YPD,8,0.192,11/18/2024,
YPDSET,1,0.156,11/18/2024,
YPDSET,2,0.153,11/18/2024,
YPDSET,3,0.179,11/18/2024,
YPDSET,4,0.172,11/18/2024,
YPDSET,5,0.169,11/18/2024,
YPDSET,6,0.132,11/18/2024,
YPDSET,7,0.149,11/18/2024,
YPDSET,8,0.147,11/18/2024,
YPDSET Settled,1,0.29,11/18/2024,
YPDSET Settled,2,0.315,11/18/2024,
YPDSET Settled,3,0.291,11/18/2024,
YPDSET Settled,4,0.39,11/18/2024,
YPDSET Settled,5,0.29,11/18/2024,
YPDSET Settled,6,0.357,11/18/2024,
YPDSET Settled,7,0.321,11/18/2024,
YPDSET Settled,8,0.325,11/18/2024,
GAL,1,0.258,11/19/2024,
GAL,2,0.223,11/19/2024,
GAL,3,0.243,11/19/2024,
GAL,4,0.244,11/19/2024,
GAL,5,0.24,11/19/2024,
GAL,6,0.22,11/19/2024,
GAL,7,0.207,11/19/2024,
GAL,8,0.249,11/19/2024,
GALSET,1,0.156,11/19/2024,
GALSET,2,0.129,11/19/2024,
GALSET,3,0.094,11/19/2024,
GALSET,4,0.131,11/19/2024,
GALSET,5,0.129,11/19/2024,
GALSET,6,0.176,11/19/2024,
GALSET,7,0.179,11/19/2024,
GALSET,8,0.16,11/19/2024,
GALSET Settled,1,0.442,11/19/2024,
GALSET Settled,2,0.412,11/19/2024,
GALSET Settled,3,0.455,11/19/2024,
GALSET Settled,4,0.541,11/19/2024,
GALSET Settled,5,0.455,11/19/2024,
GALSET Settled,6,0.511,11/19/2024,
GALSET Settled,7,0.436,11/19/2024,
GALSET Settled,8,0.37,11/19/2024,
YPD,1,0.166,11/19/2024,
YPD,2,0.179,11/19/2024,
YPD,3,0.167,11/19/2024,
YPD,4,0.229,11/19/2024,
YPD,5,0.178,11/19/2024,
YPD,6,0.176,11/19/2024,
YPD,7,0.207,11/19/2024,
YPD,8,0.205,11/19/2024,
YPDSET,1,0.153,11/19/2024,
YPDSET,2,0.128,11/19/2024,
YPDSET,3,,11/19/2024,
YPDSET,4,0.133,11/19/2024,
YPDSET,5,0.156,11/19/2024,
YPDSET,6,0.15,11/19/2024,
YPDSET,7,0.159,11/19/2024,
YPDSET,8,0.135,11/19/2024,
YPDSET Settled,1,0.256,11/19/2024,
YPDSET Settled,2,0.322,11/19/2024,
YPDSET Settled,3,,11/19/2024,
YPDSET Settled,4,0.35,11/19/2024,
YPDSET Settled,5,0.32,11/19/2024,
YPDSET Settled,6,0.272,11/19/2024,
YPDSET Settled,7,0.288,11/19/2024,
YPDSET Settled,8,0.237,11/19/2024,
GAL,5,0.254,11/20/2024,
GAL,6,0.233,11/20/2024,
GAL,7,0.272,11/20/2024,
GAL,8,0.25,11/20/2024,
GALSET,5,0.109,11/20/2024,
GALSET,6,0.185,11/20/2024,
GALSET,7,0.178,11/20/2024,
GALSET,8,0.117,11/20/2024,
GALSET Settled,5,0.528,11/20/2024,
GALSET Settled,6,0.455,11/20/2024,
GALSET Settled,7,0.375,11/20/2024,
GALSET Settled,8,0.329,11/20/2024,
YPD,5,0.171,11/20/2024,
YPD,6,0.158,11/20/2024,
YPD,7,0.179,11/20/2024,
YPD,8,0.196,11/20/2024,
YPDSET,5,0.134,11/20/2024,
YPDSET,6,0.184,11/20/2024,
YPDSET,7,0.165,11/20/2024,
YPDSET,8,0.166,11/20/2024,
YPDSET Settled,5,0.318,11/20/2024,
YPDSET Settled,6,0.353,11/20/2024,
YPDSET Settled,7,0.339,11/20/2024,
YPDSET Settled,8,0.405,11/20/2024,
