Treatment,Replicate,Settling,Number,Transfer
YPDSET,6,yes,2,1
YPDSET,6,yes,1,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,3,1
YPDSET,6,yes,2,1
YPDSET,6,yes,3,1
YPDSET,6,yes,2,1
YPDSET,6,yes,3,1
YPDSET,6,yes,2,1
YPDSET,6,yes,1,1
YPDSET,6,yes,1,1
YPDSET,6,yes,1,1
YPDSET,6,yes,3,1
YPDSET,6,yes,3,1
YPDSET,6,yes,1,1
YPDSET,6,yes,2,1
YPDSET,6,yes,3,1
YPDSET,6,yes,2,1
YPDSET,6,yes,1,1
YPDSET,6,yes,3,1
YPDSET,6,yes,1,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,1,1
YPDSET,6,yes,1,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,3,1
YPDSET,6,yes,2,1
YPDSET,6,yes,4,1
YPDSET,6,yes,2,1
YPDSET,6,yes,2,1
YPDSET,6,yes,4,1
YPDSET,6,yes,2,1
YPDSET,6,yes,1,1
YPDSET,6,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,3,1
YPDSET,7,yes,1,1
YPDSET,7,yes,3,1
YPDSET,7,yes,3,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,4,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,3,1
YPDSET,7,yes,3,1
YPDSET,7,yes,3,1
YPDSET,7,yes,5,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,3,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,4,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,4,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,5,1
YPDSET,7,yes,3,1
YPDSET,7,yes,4,1
YPDSET,7,yes,5,1
YPDSET,7,yes,4,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,2,1
YPDSET,7,yes,4,1
YPDSET,7,yes,1,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,3,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,3,1
YPDSET,7,yes,2,1
YPDSET,7,yes,1,1
YPDSET,7,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,3,1
YPDSET,8,yes,3,1
YPDSET,8,yes,3,1
YPDSET,8,yes,3,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,5,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,4,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,4,1
YPDSET,8,yes,2,1
YPDSET,8,yes,3,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,3,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,4,1
YPDSET,8,yes,5,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
YPDSET,8,yes,3,1
YPDSET,8,yes,3,1
YPDSET,8,yes,4,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,6,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,3,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,3,1
YPDSET,8,yes,4,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,4,1
YPDSET,8,yes,2,1
YPDSET,8,yes,2,1
YPDSET,8,yes,1,1
YPDSET,8,yes,1,1
YPDSET,8,yes,3,1
GAL,1,no,4,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,10,4
GAL,1,no,3,4
GAL,1,no,5,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,4,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,1,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,5,4
GAL,1,no,2,4
GAL,1,no,1,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,1,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,6,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,6,4
GAL,1,no,2,4
GAL,1,no,1,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,1,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,1,4
GAL,1,no,1,4
GAL,1,no,4,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,2,4
GAL,1,no,2,4
GAL,1,no,4,4
GAL,1,no,3,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,4,4
GAL,1,no,2,4
GAL,1,no,3,4
GAL,1,no,4,4
GAL,1,no,5,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,4,4
GAL,2,no,4,4
GAL,2,no,5,4
GAL,2,no,6,4
GAL,2,no,10,4
GAL,2,no,3,4
GAL,2,no,11,4
GAL,2,no,4,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,12,4
GAL,2,no,4,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,1,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,15,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,4,4
GAL,2,no,1,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,4,4
GAL,2,no,5,4
GAL,2,no,3,4
GAL,2,no,3,4
GAL,2,no,4,4
GAL,2,no,1,4
GAL,2,no,3,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,5,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,5,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,1,4
GAL,2,no,2,4
GAL,2,no,4,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,8,4
GAL,2,no,6,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,15,4
GAL,2,no,2,4
GAL,2,no,5,4
GAL,2,no,1,4
GAL,2,no,1,4
GAL,2,no,1,4
GAL,2,no,7,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,8,4
GAL,2,no,3,4
GAL,2,no,7,4
GAL,2,no,4,4
GAL,2,no,2,4
GAL,2,no,4,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,11,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,3,4
GAL,2,no,3,4
GAL,2,no,1,4
GAL,2,no,3,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,2,4
GAL,2,no,20,4
GAL,2,no,4,4
GAL,2,no,5,4
GAL,3,no,3,4
GAL,3,no,10,4
GAL,3,no,5,4
GAL,3,no,2,4
GAL,3,no,12,4
GAL,3,no,9,4
GAL,3,no,4,4
GAL,3,no,2,4
GAL,3,no,4,4
GAL,3,no,5,4
GAL,3,no,7,4
GAL,3,no,3,4
GAL,3,no,6,4
GAL,3,no,7,4
GAL,3,no,3,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,3,4
GAL,3,no,4,4
GAL,3,no,9,4
GAL,3,no,4,4
GAL,3,no,10,4
GAL,3,no,6,4
GAL,3,no,3,4
GAL,3,no,9,4
GAL,3,no,4,4
GAL,3,no,1,4
GAL,3,no,2,4
GAL,3,no,4,4
GAL,3,no,5,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,2,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,3,4
GAL,3,no,4,4
GAL,3,no,2,4
GAL,3,no,2,4
GAL,3,no,2,4
GAL,3,no,6,4
GAL,3,no,3,4
GAL,3,no,5,4
GAL,3,no,2,4
GAL,3,no,7,4
GAL,3,no,3,4
GAL,3,no,3,4
GAL,3,no,4,4
GAL,3,no,2,4
GAL,3,no,8,4
GAL,3,no,3,4
GAL,3,no,2,4
GAL,3,no,2,4
GAL,3,no,3,4
GAL,3,no,10,4
GAL,3,no,6,4
GAL,3,no,3,4
GAL,3,no,3,4
GAL,3,no,5,4
GAL,3,no,5,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,5,4
GAL,3,no,1,4
GAL,3,no,2,4
GAL,3,no,3,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,3,4
GAL,3,no,5,4
GAL,3,no,5,4
GAL,3,no,3,4
GAL,3,no,3,4
GAL,3,no,6,4
GAL,3,no,3,4
GAL,3,no,4,4
GAL,3,no,2,4
GAL,3,no,1,4
GAL,3,no,3,4
GAL,3,no,2,4
GAL,3,no,5,4
GAL,3,no,2,4
GAL,3,no,4,4
GAL,3,no,12,4
GAL,3,no,9,4
GAL,3,no,5,4
GAL,3,no,3,4
GAL,3,no,6,4
GAL,3,no,5,4
GAL,3,no,5,4
GAL,3,no,4,4
GAL,3,no,4,4
GAL,3,no,1,4
GAL,3,no,5,4
GAL,3,no,9,4
GAL,3,no,4,4
GAL,3,no,5,4
GAL,3,no,4,4
GAL,3,no,15,4
GAL,4,no,3,4
GAL,4,no,4,4
GAL,4,no,5,4
GAL,4,no,5,4
GAL,4,no,4,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,5,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,17,4
GAL,4,no,5,4
GAL,4,no,7,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,5,4
GAL,4,no,2,4
GAL,4,no,3,4
GAL,4,no,2,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,8,4
GAL,4,no,5,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,21,4
GAL,4,no,2,4
GAL,4,no,9,4
GAL,4,no,5,4
GAL,4,no,4,4
GAL,4,no,1,4
GAL,4,no,4,4
GAL,4,no,3,4
GAL,4,no,4,4
GAL,4,no,5,4
GAL,4,no,4,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,3,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,4,4
GAL,4,no,2,4
GAL,4,no,4,4
GAL,4,no,3,4
GAL,4,no,7,4
GAL,4,no,4,4
GAL,4,no,4,4
GAL,4,no,4,4
GAL,4,no,4,4
GAL,4,no,6,4
GAL,4,no,4,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,2,4
GAL,4,no,3,4
GAL,4,no,2,4
GAL,4,no,8,4
GAL,4,no,5,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,2,4
GAL,4,no,27,4
GAL,4,no,5,4
GAL,4,no,3,4
GAL,4,no,3,4
GAL,4,no,8,4
GAL,4,no,4,4
GAL,4,no,7,4
GAL,4,no,5,4
GAL,4,no,2,4
GAL,4,no,2,4
GAL,4,no,5,4
GAL,4,no,4,4
GAL,4,no,3,4
GAL,4,no,2,4
GAL,4,no,4,4
GAL,4,no,10,4
GAL,4,no,1,4
GAL,4,no,3,4
GAL,4,no,4,4
GAL,4,no,3,4
GAL,4,no,1,4
GAL,4,no,7,4
GAL,4,no,5,4
GAL,4,no,2,4
GAL,4,no,6,4
GAL,4,no,1,4
GAL,4,no,6,4
GAL,4,no,4,4
GAL,4,no,2,4
GAL,4,no,3,4
GAL,4,no,4,4
GALSET,1,yes,3,4
GALSET,1,yes,2,4
GALSET,1,yes,1,4
GALSET,1,yes,3,4
GALSET,1,yes,21,4
GALSET,1,yes,5,4
GALSET,1,yes,3,4
GALSET,1,yes,2,4
GALSET,1,yes,6,4
GALSET,1,yes,2,4
GALSET,1,yes,2,4
GALSET,1,yes,4,4
GALSET,1,yes,4,4
GALSET,1,yes,3,4
GALSET,1,yes,1,4
GALSET,1,yes,3,4
GALSET,1,yes,12,4
GALSET,1,yes,3,4
GALSET,1,yes,2,4
GALSET,1,yes,2,4
GALSET,1,yes,6,4
GALSET,1,yes,17,4
GALSET,1,yes,4,4
GALSET,1,yes,4,4
GALSET,1,yes,4,4
GALSET,1,yes,2,4
GALSET,1,yes,5,4
GALSET,1,yes,4,4
GALSET,1,yes,2,4
GALSET,1,yes,1,4
GALSET,1,yes,16,4
GALSET,1,yes,3,4
GALSET,1,yes,1,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,6,4
GALSET,1,yes,2,4
GALSET,1,yes,3,4
GALSET,1,yes,2,4
GALSET,1,yes,7,4
GALSET,1,yes,4,4
GALSET,1,yes,2,4
GALSET,1,yes,5,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,20,4
GALSET,1,yes,3,4
GALSET,1,yes,19,4
GALSET,1,yes,5,4
GALSET,1,yes,2,4
GALSET,1,yes,2,4
GALSET,1,yes,2,4
GALSET,1,yes,8,4
GALSET,1,yes,3,4
GALSET,1,yes,16,4
GALSET,1,yes,6,4
GALSET,1,yes,2,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,3,4
GALSET,1,yes,3,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,2,4
GALSET,1,yes,5,4
GALSET,1,yes,2,4
GALSET,1,yes,2,4
GALSET,1,yes,4,4
GALSET,1,yes,3,4
GALSET,1,yes,3,4
GALSET,1,yes,5,4
GALSET,1,yes,11,4
GALSET,1,yes,8,4
GALSET,1,yes,3,4
GALSET,1,yes,2,4
GALSET,1,yes,2,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,7,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,5,4
GALSET,1,yes,2,4
GALSET,1,yes,3,4
GALSET,1,yes,5,4
GALSET,1,yes,7,4
GALSET,1,yes,6,4
GALSET,1,yes,4,4
GALSET,1,yes,1,4
GALSET,1,yes,3,4
GALSET,1,yes,3,4
GALSET,1,yes,3,4
GALSET,1,yes,4,4
GALSET,1,yes,4,4
GALSET,1,yes,13,4
GALSET,1,yes,4,4
GALSET,2,yes,14,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,5,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,7,4
GALSET,2,yes,2,4
GALSET,2,yes,6,4
GALSET,2,yes,2,4
GALSET,2,yes,3,4
GALSET,2,yes,1,4
GALSET,2,yes,2,4
GALSET,2,yes,2,4
GALSET,2,yes,4,4
GALSET,2,yes,5,4
GALSET,2,yes,8,4
GALSET,2,yes,5,4
GALSET,2,yes,3,4
GALSET,2,yes,11,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,2,4
GALSET,2,yes,3,4
GALSET,2,yes,4,4
GALSET,2,yes,2,4
GALSET,2,yes,5,4
GALSET,2,yes,3,4
GALSET,2,yes,2,4
GALSET,2,yes,3,4
GALSET,2,yes,11,4
GALSET,2,yes,3,4
GALSET,2,yes,9,4
GALSET,2,yes,4,4
GALSET,2,yes,4,4
GALSET,2,yes,4,4
GALSET,2,yes,19,4
GALSET,2,yes,27,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,9,4
GALSET,2,yes,4,4
GALSET,2,yes,13,4
GALSET,2,yes,5,4
GALSET,2,yes,2,4
GALSET,2,yes,3,4
GALSET,2,yes,4,4
GALSET,2,yes,4,4
GALSET,2,yes,7,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,2,4
GALSET,2,yes,5,4
GALSET,2,yes,4,4
GALSET,2,yes,7,4
GALSET,2,yes,4,4
GALSET,2,yes,9,4
GALSET,2,yes,2,4
GALSET,2,yes,1,4
GALSET,2,yes,3,4
GALSET,2,yes,48,4
GALSET,2,yes,8,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,6,4
GALSET,2,yes,3,4
GALSET,2,yes,2,4
GALSET,2,yes,4,4
GALSET,2,yes,2,4
GALSET,2,yes,5,4
GALSET,2,yes,2,4
GALSET,2,yes,4,4
GALSET,2,yes,3,4
GALSET,2,yes,2,4
GALSET,2,yes,2,4
GALSET,2,yes,2,4
GALSET,2,yes,6,4
GALSET,2,yes,5,4
GALSET,2,yes,17,4
GALSET,2,yes,2,4
GALSET,2,yes,3,4
GALSET,2,yes,3,4
GALSET,2,yes,4,4
GALSET,2,yes,3,4
GALSET,2,yes,4,4
GALSET,2,yes,5,4
GALSET,2,yes,27,4
GALSET,2,yes,3,4
GALSET,2,yes,1,4
GALSET,2,yes,8,4
GALSET,2,yes,13,4
GALSET,2,yes,4,4
GALSET,2,yes,3,4
GALSET,2,yes,5,4
GALSET,3,yes,13,4
GALSET,3,yes,17,4
GALSET,3,yes,4,4
GALSET,3,yes,14,4
GALSET,3,yes,2,4
GALSET,3,yes,4,4
GALSET,3,yes,4,4
GALSET,3,yes,2,4
GALSET,3,yes,6,4
GALSET,3,yes,7,4
GALSET,3,yes,3,4
GALSET,3,yes,3,4
GALSET,3,yes,5,4
GALSET,3,yes,4,4
GALSET,3,yes,10,4
GALSET,3,yes,4,4
GALSET,3,yes,10,4
GALSET,3,yes,4,4
GALSET,3,yes,3,4
GALSET,3,yes,4,4
GALSET,3,yes,6,4
GALSET,3,yes,3,4
GALSET,3,yes,10,4
GALSET,3,yes,4,4
GALSET,3,yes,2,4
GALSET,3,yes,4,4
GALSET,3,yes,4,4
GALSET,3,yes,5,4
GALSET,3,yes,2,4
GALSET,3,yes,4,4
GALSET,3,yes,4,4
GALSET,3,yes,3,4
GALSET,3,yes,2,4
GALSET,3,yes,2,4
GALSET,3,yes,2,4
GALSET,3,yes,3,4
GALSET,3,yes,5,4
GALSET,3,yes,3,4
GALSET,3,yes,2,4
GALSET,3,yes,2,4
GALSET,3,yes,2,4
GALSET,3,yes,7,4
GALSET,3,yes,3,4
GALSET,3,yes,3,4
GALSET,3,yes,4,4
GALSET,3,yes,10,4
GALSET,3,yes,15,4
GALSET,3,yes,12,4
GALSET,3,yes,2,4
GALSET,3,yes,2,4
GALSET,3,yes,3,4
GALSET,3,yes,4,4
GALSET,3,yes,2,4
GALSET,3,yes,4,4
GALSET,3,yes,5,4
GALSET,3,yes,3,4
GALSET,3,yes,5,4
GALSET,3,yes,5,4
GALSET,3,yes,5,4
GALSET,3,yes,6,4
GALSET,3,yes,3,4
GALSET,3,yes,5,4
GALSET,3,yes,3,4
GALSET,3,yes,7,4
GALSET,3,yes,3,4
GALSET,3,yes,6,4
GALSET,3,yes,3,4
GALSET,3,yes,3,4
GALSET,3,yes,4,4
GALSET,3,yes,14,4
GALSET,3,yes,5,4
GALSET,3,yes,3,4
GALSET,3,yes,5,4
GALSET,3,yes,2,4
GALSET,3,yes,6,4
GALSET,3,yes,4,4
GALSET,3,yes,5,4
GALSET,3,yes,13,4
GALSET,3,yes,3,4
GALSET,3,yes,5,4
GALSET,3,yes,4,4
GALSET,3,yes,4,4
GALSET,3,yes,3,4
GALSET,3,yes,1,4
GALSET,3,yes,3,4
GALSET,3,yes,6,4
GALSET,3,yes,4,4
GALSET,3,yes,6,4
GALSET,3,yes,3,4
GALSET,3,yes,3,4
GALSET,3,yes,4,4
GALSET,3,yes,15,4
GALSET,3,yes,8,4
GALSET,3,yes,5,4
GALSET,3,yes,4,4
GALSET,3,yes,4,4
GALSET,3,yes,4,4
GALSET,3,yes,2,4
GALSET,3,yes,3,4
GALSET,3,yes,2,4
GALSET,4,yes,20,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,5,4
GALSET,4,yes,5,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,5,4
GALSET,4,yes,3,4
GALSET,4,yes,3,4
GALSET,4,yes,3,4
GALSET,4,yes,2,4
GALSET,4,yes,3,4
GALSET,4,yes,6,4
GALSET,4,yes,14,4
GALSET,4,yes,7,4
GALSET,4,yes,24,4
GALSET,4,yes,3,4
GALSET,4,yes,3,4
GALSET,4,yes,3,4
GALSET,4,yes,5,4
GALSET,4,yes,4,4
GALSET,4,yes,5,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,5,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,2,4
GALSET,4,yes,14,4
GALSET,4,yes,4,4
GALSET,4,yes,4,4
GALSET,4,yes,16,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,3,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,4,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,3,4
GALSET,4,yes,3,4
GALSET,4,yes,5,4
GALSET,4,yes,7,4
GALSET,4,yes,2,4
GALSET,4,yes,8,4
GALSET,4,yes,5,4
GALSET,4,yes,4,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,2,4
GALSET,4,yes,3,4
GALSET,4,yes,27,4
GALSET,4,yes,5,4
GALSET,4,yes,3,4
GALSET,4,yes,8,4
GALSET,4,yes,8,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,2,4
GALSET,4,yes,2,4
GALSET,4,yes,5,4
GALSET,4,yes,3,4
GALSET,4,yes,4,4
GALSET,4,yes,11,4
GALSET,4,yes,4,4
GALSET,4,yes,6,4
GALSET,4,yes,6,4
GALSET,4,yes,5,4
GALSET,4,yes,7,4
GALSET,4,yes,3,4
GALSET,4,yes,4,4
GALSET,4,yes,6,4
GALSET,4,yes,4,4
GALSET,4,yes,3,4
GALSET,4,yes,1,4
GALSET,4,yes,7,4
GALSET,4,yes,5,4
GALSET,4,yes,29,4
GALSET,4,yes,8,4
GALSET,4,yes,5,4
GALSET,4,yes,2,4
GALSET,4,yes,5,4
GALSET,4,yes,2,4
GALSET,4,yes,4,4
GALSET,4,yes,4,4
GALSET,4,yes,9,4
GALSET,4,yes,5,4
GALSET,4,yes,10,4
GALSET,4,yes,3,4
